epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,214.317,1.34295,0.54137,0.79473,0.9963,0.94643,0.99083,0.64211,1.35009,0.78034,0.82762,0.0013169,0.0013169,0.0013169
71,216.372,1.52,0.59761,0.80874,0.9963,0.94643,0.99083,0.64211,1.35009,0.78034,0.82762,0.001307,0.001307,0.001307
72,218.5,1.25937,0.56738,0.7964,1,0.94575,0.9911,0.68429,1.21477,0.72939,0.81741,0.0012971,0.0012971,0.0012971
73,224.21,1.2612,0.5601,0.79746,1,0.94575,0.9911,0.68429,1.21477,0.72939,0.81741,0.0012872,0.0012872,0.0012872
74,228.196,1.12904,0.52246,0.79535,1,0.94283,0.98835,0.66154,1.30122,0.62736,0.81988,0.0012773,0.0012773,0.0012773
75,230.189,1.25251,0.56246,0.79377,1,0.94283,0.98835,0.66154,1.30122,0.62736,0.81988,0.0012674,0.0012674,0.0012674
76,233.185,1.2363,0.55562,0.79066,1,0.94328,0.98884,0.67181,1.2822,0.56155,0.82344,0.0012575,0.0012575,0.0012575
77,235.164,1.26806,0.5817,0.79688,1,0.94328,0.98884,0.67181,1.2822,0.56155,0.82344,0.0012476,0.0012476,0.0012476
78,237.228,1.13445,0.49014,0.79536,0.99708,0.92857,0.98666,0.68031,1.2019,0.57295,0.81897,0.0012377,0.0012377,0.0012377
79,239.342,1.06461,0.49218,0.80045,0.99708,0.92857,0.98666,0.68031,1.2019,0.57295,0.81897,0.0012278,0.0012278,0.0012278
80,241.376,1.05452,0.46405,0.81136,1,0.92811,0.98509,0.69032,1.15636,0.539,0.81621,0.0012179,0.0012179,0.0012179
81,246.432,1.07065,0.47256,0.78657,1,0.92811,0.98509,0.69032,1.15636,0.539,0.81621,0.001208,0.001208,0.001208
82,248.76,1.06184,0.46315,0.78508,0.99842,0.91071,0.98087,0.72572,1.03312,0.49426,0.81367,0.0011981,0.0011981,0.0011981
83,250.986,1.0117,0.46774,0.78937,0.99842,0.91071,0.98087,0.72572,1.03312,0.49426,0.81367,0.0011882,0.0011882,0.0011882
